fid,dn,fid_2,dn_2,fid_3,id,objectid_1,objectid,village,vlcode,block,bkcode,subdistric,sdcode,sub_distri,district,dtcode,district_h,state,stcode,country,total_urba,total_hous,total_popu,avg_househ,total_geog,total_male,total_fema,tapwater_t,tapwater_u,covered_we,covered__1,covered__2,uncovered_,uncovere_1,uncovere_2,handpump_s,hand_pump_,hand_pum_1,tubewell_b,tube_wells,tube_wel_1,spring_sta,spring_fun,spring_f_1,river_cana,tank_pond_,others_sta,closed_dra,open_drain,village_pi,forest_are,area_under,barren_unc,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,other_sour,nearest_to,nearest__1,shape_leng,shape_le_1,shape_area,ds_name,src_agency,state_name,village_area_km2,village_id,flood_area_km2,flood_exposure_pct,flood_risk,hospital_dist_km,name,amenity,population_density,water_availability,drainage_availability,healthcare_gap_score,river_distance_km,flood_score,population_score,water_gap_score,drainage_gap_score,service_gap_score,river_vulnerability_score,ml_cluster,ml_risk_group,vulnerability_score,vulnerability_class,flood_score_contribution,population_score_contribution,service_gap_score_contribution,river_vulnerability_score_contribution,underserved_score,welfare_priority_score,welfare_priority,priority_rank,priority_services,priority_reason
166,1,1,1,4287,41129,41129,107664,Nilaj,540806,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,352,1557,4.42329545,349,801,756,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,1,59,4,0,65,0,0,220,76,143,0,24,0,0,52,BRAHMAPURI,21,7247.210205,7247.210205,3235818.716,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4287,0.118847082,3.961569397,Low,7.012271293226318,SDH Armori,hospital,519.0,0.0,0.0,41.290986767731226,0,10.630166447799562,27.73917691074292,100.0,50.0,63.76366225591041,50.0,4,Low,33.24,Moderate,4.25,5.55,15.94,7.5,42.33,33.16,Moderate,56,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
167,1,1,1,2743,39543,39543,106078,Dewada Bk,541469,Pombhurna,124.0,Pombhurna,4073,Pombhurna,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,311,1233,3.96463023,726,639,594,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,79,0,71,0,0,0,0,11,565,44,521,0,44,0,0,0,MUL,27,12372.28738,12372.28738,6974053.109,Administrative Boundary,Survey of India (SOI),"Maharashtra
",7,2743,0.049763997,0.710914246,Low,11.81360102647152,,,176.14285714285714,0.0,0.0,69.66219136213384,0,1.90673768250194,9.414369702985416,100.0,50.0,73.22073045404461,50.0,1,Very Low,28.45,Moderate,0.76,1.88,18.31,7.5,39.82,28.59,Moderate,111,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
168,1,1,1,4203,41036,41036,107571,Dhanoli Tukum,540783,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,0,0,0.0,403,0,0,,,,,,,,,,,,,,,,,,,,,,,,45,0,29,1,0,9,0,3,315,102,213,0,2,100,0,0,,0,12397.41119,12397.41119,4500796.636,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4203,0.102644519,2.052890387,Low,4.289063800947016,,hospital,0.0,100.0,0.0,25.19947020691258,0,5.508052718069827,0.0,77.27272727272728,50.0,50.82406582654662,50.0,4,Low,22.41,Low,2.2,0.0,12.71,7.5,26.51,20.1,Low,192,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
169,1,1,1,4167,41000,41000,107535,Zilbodi,540772,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,135,538,3.98518519,153,258,280,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,0,13,0,0,0,0,4,135,22,113,0,22,0,0,0,BRAHMAPURI,3,6398.17521,6398.17521,1606451.855,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4167,0.004812165,0.240608262,Low,3.078471693115709,Akshay Nursing Home,hospital,269.0,0.0,0.0,18.04604432702892,0,0.6446287971422937,14.377338321753072,100.0,50.0,56.01534810900964,50.0,4,Low,24.64,Low,0.26,2.88,14.0,7.5,32.45,23.18,Low,169,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
170,1,1,1,2986,39784,39784,106319,Vichora,540914,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,160,657,4.10625,311,319,338,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,13,0,2,0,3,17,16,261,182,79,165,2,0,0,16,MUL,27,9822.262012,9822.262012,3257848.866,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,2986,0.536150803,17.87169343,Moderate,11.48328644747348,Dr. Mallick Hospital,hospital,219.0,0.0,0.0,67.71035238794757,0,47.9592495038724,11.704970603955104,100.0,50.0,72.5701174626492,50.0,0,Very High,47.17,Moderate,19.18,2.34,18.14,7.5,49.39,48.23,Moderate,12,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
171,1,1,1,4286,41128,41128,107663,Rui,540805,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,420,1709,4.06904762,417,890,819,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,1,15,13,0,48,0,0,339,87,252,0,25,0,0,62,BRAHMAPURI,21,9295.817691,9295.817691,4746723.19,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4286,0.297315386,5.946307724,Low,8.227402286719038,SDH Armori,hospital,341.8,0.0,0.0,48.47123306214273,0,15.956392272773417,18.268305718866916,100.0,50.0,66.15707768738092,50.0,4,Low,34.08,Moderate,6.38,3.65,16.54,7.5,41.75,34.06,Moderate,49,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
172,1,1,1,4365,41208,41208,107743,Mulur Rith,538514,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,0,0,0.0,230,0,0,,,,,,,,,,,,,,,,,,,,,,,,10,64,0,4,0,3,10,2,137,93,45,92,0,0,0,1,,0,11189.1894,11189.1894,4510288.401,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4365,0.31869716,6.373943208,Low,5.427834205570893,SDH Armori,hospital,0.0,0.0,0.0,31.928499440611464,0,17.10399099023195,0.0,100.0,50.0,60.64283314687049,50.0,4,Low,29.5,Moderate,6.84,0.0,15.16,7.5,33.74,28.41,Moderate,116,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
173,1,1,1,4347,41190,41190,107725,Peth Tukum,538586,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,157,612,3.89808917,322,307,305,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,,Available,120,3,41,11,0,4,0,0,143,87,57,0,2,85,0,0,DESAIGANJ,28,8062.853649,8062.853649,3221878.198,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4347,0.232129592,7.737653069,Low,8.916693342473618,SDH Armori,hospital,204.0,85.0,0.0,52.54427504309561,0,20.76363044023875,10.903260288615714,80.68181818181819,50.0,61.0753644083046,50.0,1,Very Low,33.25,Moderate,8.31,2.18,15.27,7.5,37.96,32.6,Moderate,62,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
174,1,1,1,4049,40874,40874,107409,Dabgaon Maushi,540908,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,231,896,3.87878788,537,452,444,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,81,0,65,0,0,0,13,377,301,76,293,1,0,0,7,MUL,31,16214.18577,16214.18577,7283379.525,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,4049,2.182280262,27.27850328,Moderate,10.222566543579918,Nobel Multispeciality Hospital,hospital,112.0,0.0,0.0,60.26071982429851,0,73.20327934503564,5.986103687867451,100.0,50.0,70.08690660809951,50.0,0,Very High,55.5,High,29.28,1.2,17.52,7.5,51.48,56.65,High,6,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness, Emergency Flood Response","Priority is influenced by high flood exposure, limited healthcare accessibility, water-service gap, drainage-service gap."
175,1,1,1,3022,39818,39818,106353,Vyahad Bk,540918,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,1089,4241,3.89439853,2082,2142,2099,,,,Available,Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,925,270,0,16,0,31,0,82,759,488,271,274,2,202,0,10,MUL,28,10873.12985,10873.12985,3551602.186,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,3022,0.166494712,4.162367803,Low,9.881496513394277,Dr. Mallick Hospital,hospital,1060.25,202.0,0.0,58.24532655930076,0,11.169027234182103,56.667557455905936,54.090909090909086,50.0,54.11207855006995,50.0,2,Moderate,36.83,Moderate,4.47,11.33,13.53,7.5,46.29,36.66,Moderate,36,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by high population exposure, limited healthcare accessibility, water-service gap, drainage-service gap."
