fid,dn,fid_2,dn_2,fid_3,id,objectid_1,objectid,village,vlcode,block,bkcode,subdistric,sdcode,sub_distri,district,dtcode,district_h,state,stcode,country,total_urba,total_hous,total_popu,avg_househ,total_geog,total_male,total_fema,tapwater_t,tapwater_u,covered_we,covered__1,covered__2,uncovered_,uncovere_1,uncovere_2,handpump_s,hand_pump_,hand_pum_1,tubewell_b,tube_wells,tube_wel_1,spring_sta,spring_fun,spring_f_1,river_cana,tank_pond_,others_sta,closed_dra,open_drain,village_pi,forest_are,area_under,barren_unc,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,other_sour,nearest_to,nearest__1,shape_leng,shape_le_1,shape_area,ds_name,src_agency,state_name,village_area_km2,village_id,flood_area_km2,flood_exposure_pct,flood_risk,hospital_dist_km,name,amenity,population_density,water_availability,drainage_availability,healthcare_gap_score,river_distance_km,flood_score,population_score,water_gap_score,drainage_gap_score,service_gap_score,river_vulnerability_score,ml_cluster,ml_risk_group,vulnerability_score,vulnerability_class,flood_score_contribution,population_score_contribution,service_gap_score_contribution,river_vulnerability_score_contribution,underserved_score,welfare_priority_score,welfare_priority,priority_rank,priority_services,priority_reason
1,1,1,1,4171,41004,41004,107539,Udapur,540770,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,578,2405,4.16089965,315,1225,1180,,,,Available,Available,Available,Not Available,Not Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,,Available,7,6,43,0,0,0,0,6,253,48,205,0,48,0,0,0,BRAHMAPURI,3,9117.822868,9117.822868,2475183.701,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4171,0.007218707,0.240623579,Low,2.488309486577624,Akshay Nursing Home,hospital,801.6666666666666,0.0,0.0,14.558757755219334,0,0.6446699017049715,42.8469624086941,100.0,50.0,54.852919251739785,50.0,2,Moderate,30.04,Moderate,0.26,8.57,13.71,7.5,40.41,29.32,Moderate,105,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
2,1,1,1,4320,41163,41163,107698,Mulur Chak,538515,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,18,71,3.94444444,140,44,27,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,24,0,72,0,11,1,0,32,65,-33,65,0,0,0,0,DESAIGANJ,27,11327.14544,11327.14544,5245195.984,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4320,0.024030352,0.480607047,Low,4.396752454544,SDH Armori,hospital,14.2,0.0,0.0,25.835805762569308,0,1.2886873660930547,0.7589524318546231,100.0,50.0,58.61193525418977,50.0,4,Low,22.82,Low,0.52,0.15,14.65,7.5,29.79,21.23,Low,185,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
3,1,1,1,2965,39762,39762,106297,Pardi,540953,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,318,1419,4.46226415,530,738,681,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,9,66,25,0,70,0,0,8,352,210,141,104,3,54,0,50,MUL,22,9864.038811,9864.038811,4416252.861,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,2965,0.184347313,3.686946262,Low,6.267754586412697,"Rural Hospital, Korpana",hospital,283.8,54.0,0.0,36.89161472154533,0,9.89319028632078,15.168359166221274,87.72727272727272,50.0,58.20629581627268,50.0,4,Low,29.04,Moderate,3.96,3.03,14.55,7.5,35.63,28.02,Moderate,126,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
4,1,1,1,4062,40886,40886,107421,Kudesawali,540859,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,298,1147,3.84899329,350,597,550,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,42,0,80,5,0,2,7,23,191,29,162,0,1,22,0,5,BRAHMAPURI,41,11086.60803,11086.60803,6063382.921,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4062,1.411073698,23.51789497,Moderate,13.40782304883896,Janatal Hospital,hospital,191.16666666666666,22.0,0.0,79.08249816845645,0,63.11134489410524,10.217352574380902,95.0,50.0,74.69416605615216,50.0,0,Very High,53.46,High,25.24,2.04,18.67,7.5,53.03,55.0,High,7,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness, Emergency Flood Response","Priority is influenced by high flood exposure, limited healthcare accessibility, water-service gap, drainage-service gap."
5,1,1,1,3021,39817,39817,106352,Samada Bk,540917,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,804,3081,3.83208955,1140,1569,1512,,,,Available,Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,155,65,0,12,0,60,0,109,739,510,229,263,2,238,0,7,MUL,31,16629.72898,16629.72898,13027383.56,Administrative Boundary,Survey of India (SOI),"Maharashtra
",13,3021,0.8636599,6.643537696,Low,8.782395336673241,Dr. Mallick Hospital,hospital,237.0,238.0,0.0,51.75070400947125,0,17.82747232009907,12.667022982362372,45.909090909090914,50.0,49.21993163952072,50.0,3,High,29.47,Moderate,7.13,2.53,12.3,7.5,31.98,27.63,Moderate,128,"Healthcare, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, drainage-service gap."
6,1,1,1,4295,41138,41138,107673,Kharkada,540778,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,476,1966,4.1302521,659,989,977,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,18,111,3,0,2,0,4,522,11,511,0,6,0,0,5,BRAHMAPURI,13,9686.887399,9686.887399,5966767.422,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4295,0.774053136,12.9008856,Low,5.930208970251071,"Sub District Hospital, Chimur",hospital,327.6666666666667,0.0,0.0,34.89704732706805,0,34.619634565742444,17.51291644396936,100.0,50.0,61.63234910902268,50.0,0,Very High,40.26,Moderate,13.85,3.5,15.41,7.5,42.99,40.14,Moderate,23,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
7,1,1,1,3090,39887,39887,106422,Visapur Raiyyatwari,539270,Chamorshi,109.0,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,156,703,4.50641026,447,359,344,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,219,20,28,22,0,7,2,2,147,83,64,0,0,81,0,2,GADCHIROLI,32,9965.398098,9965.398098,5420736.544,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,3090,0.000410283,0.006838054,Low,8.864686310457333,"General Hospital, Chamorshi",hospital,117.16666666666667,81.0,0.0,52.236963896463664,0,0.01728518109939708,6.262248352039908,81.5909090909091,50.0,61.275957662457586,50.0,1,Very Low,24.08,Low,0.01,1.25,15.32,7.5,32.52,22.89,Low,171,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
8,1,1,1,3999,40825,40825,107360,Mudaza,540860,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,925,3659,3.95567568,1447,1866,1793,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,839,1,104,7,0,29,21,14,431,298,133,10,283,0,5,0,BRAHMAPURI,43,19955.47093,19955.47093,14349352.35,Administrative Boundary,Survey of India (SOI),"Maharashtra
",15,3999,0.113439206,0.756261376,Low,16.947744068224065,Janatal Hospital,hospital,243.93333333333334,0.0,0.0,100.0,0,2.028430830464435,13.037591305897026,100.0,50.0,83.33333333333333,50.0,1,Very Low,31.75,Moderate,0.81,2.61,20.83,7.5,45.98,33.02,Moderate,59,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
9,1,1,1,4158,40991,40991,107526,Paradgaon,540774,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,391,1633,4.17647059,318,848,785,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,1,10,12,0,0,1,0,1,292,50,242,0,44,0,0,6,BRAHMAPURI,5,6955.224927,6955.224927,2694881.579,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4158,0.032085295,1.069509822,Low,3.979382350126367,Akshay Nursing Home,hospital,544.3333333333334,0.0,0.0,23.369553019703357,0,2.869061527227378,29.093176554427224,100.0,50.0,57.78985100656778,50.0,4,Low,28.91,Moderate,1.15,5.82,14.45,7.5,38.2,28.12,Moderate,124,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
10,1,1,1,4069,40894,40894,107429,Chikhali,540882,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,155,601,3.87741935,384,311,290,,,,Not Available,Not Available,Available,Not Available,Available,,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,110,0,0,12,0,3,61,2,195,110,85,0,1,107,0,2,MUL,30,9819.288268,9819.288268,4332143.837,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,4069,0.383828836,9.595720889,Low,6.330242556526812,Dr. Kilnake Hospital,hospital,150.25,107.0,0.0,37.26085805272522,0,25.74992443819653,8.030464991982896,75.68181818181819,50.0,54.314225411514464,50.0,3,High,32.98,Moderate,10.3,1.61,13.58,7.5,34.72,31.67,Moderate,74,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
11,1,1,1,4067,40892,40892,107427,Bormala,540880,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,372,1545,4.15322581,860,781,764,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,21,2,0,68,0,65,133,51,521,107,414,0,3,96,0,8,MUL,44,12546.5113,12546.5113,9483235.025,Administrative Boundary,Survey of India (SOI),"Maharashtra
",10,4067,0.73894433,7.389443301,Low,4.44164266369662,Sindhu Hospital,hospital,154.5,96.0,0.0,26.101063384710105,0,19.82917785593606,8.257616247995724,78.18181818181819,50.0,51.42762718884276,50.0,4,Low,29.94,Moderate,7.93,1.65,12.86,7.5,32.16,28.23,Moderate,119,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
12,1,1,1,4339,41182,41182,107717,Wankhi,538528,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,233,947,4.06437768,499,491,456,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,83,47,41,10,0,3,2,4,308,153,155,0,10,143,0,0,DESAIGANJ,26,9633.97181,9633.97181,4365908.543,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4339,0.044476418,0.889528356,Low,6.176978094254225,SDH Armori,hospital,189.4,143.0,0.0,36.35521364632706,0,2.386064892766833,10.122928915018708,67.5,50.0,51.28507121544235,50.0,3,High,23.3,Low,0.95,2.02,12.82,7.5,29.16,21.28,Low,184,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
13,1,1,1,4668,41924,41924,108459,Kinhala,537503,Lakhandur,94.0,Lakhandur,4043,Lakhandur,Bhandara,471,BHANDARA,MH,27,India,Rural,122,564,4.62295082,244,274,290,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,2,50,0,0,0,0,5,0,187,100,87,76,24,0,0,0,Desaiganj,17,6838.759197,6838.759197,2942418.827,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4668,0.200358072,6.678602407,Low,3.65220818965759,"Rural Hospital, Lakhandur",hospital,188.0,0.0,0.0,21.436270874886425,0,17.9215716614242,10.048102618920364,100.0,50.0,57.14542362496214,50.0,4,Low,30.96,Moderate,7.17,2.01,14.29,7.5,35.17,29.84,Moderate,101,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
14,1,1,1,4112,40942,40942,107477,Mohazari Patch,539101,Gadchiroli,108.0,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,61,244,4.0,815,129,115,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,763,4,6,19,0,1,3,2,17,18,-1,0,0,18,0,0,GADCHIROLI,14,18656.62328,18656.62328,10259296.81,Administrative Boundary,Survey of India (SOI),"Maharashtra
",11,4112,0.348539939,3.168544899,Low,5.558929966679267,Janatal Hospital,hospital,22.181818181818183,18.0,0.0,32.70314831217537,0,8.502013076836556,1.185559496623099,95.9090909090909,50.0,59.53741307375543,50.0,4,Low,26.02,Moderate,3.4,0.24,14.88,7.5,31.82,24.68,Low,157,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
15,1,1,1,4695,41953,41953,108488,Visora,538483,Desaiganj (Vadasa),103.0,Desaiganj (Vadasa),4052,Desaiganj (Vadasa),Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,1146,4604,4.01745201,1136,2357,2247,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,166,0,133,43,0,316,0,5,473,389,84,21,314,55,0,0,DESAIGANJ,6,14491.18842,14491.18842,10703584.62,Administrative Boundary,Survey of India (SOI),"Maharashtra
",11,4695,0.036086951,0.32806319,Low,5.641703736181792,Dr. Paapadkar Hospital,hospital,418.54545454545456,55.0,0.0,33.19226105386969,0,0.8793220510076074,22.370147223167,87.5,50.0,56.897420351289895,50.0,4,Low,26.55,Moderate,0.35,4.47,14.22,7.5,35.34,25.43,Moderate,146,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
16,1,1,1,4674,41930,41930,108465,Khairi,537507,Lakhandur,94.0,Lakhandur,4043,Lakhandur,Bhandara,471,BHANDARA,MH,27,India,Rural,290,1286,4.43448276,561,644,642,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,57,2,0,1,0,0,0,501,116,385,0,116,0,0,0,Desaiganj,20,10243.27944,10243.27944,5726393.169,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4674,0.813883889,13.56473149,Low,1.7019664369685767,"Rural Hospital, Palandur",hospital,214.33333333333334,0.0,0.0,9.912232567130276,0,36.40112539252827,11.455549616960628,100.0,50.0,53.30407752237676,50.0,0,Very High,37.68,Moderate,14.56,2.29,13.33,7.5,37.37,36.58,Moderate,37,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
17,1,1,1,4334,41177,41177,107712,Thanegaon,538526,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,763,3353,4.39449541,656,1720,1633,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,245,10,0,0,0,7,25,8,361,25,337,0,0,8,0,17,DESAIGANJ,23,12782.56136,12782.56136,6523278.873,Administrative Boundary,Survey of India (SOI),"Maharashtra
",7,4334,0.357392237,5.105603381,Low,3.679189691328482,SDH Armori,hospital,479.0,8.0,0.0,21.595705395466975,0,13.700285700970271,25.601282736504544,98.18181818181819,50.0,56.59250785909506,50.0,4,Low,32.25,Moderate,5.48,5.12,14.15,7.5,38.72,31.45,Moderate,77,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
18,1,1,1,3132,39930,39930,106465,Nilsani Pethgaon,540939,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,398,1588,3.98994975,429,754,834,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,74,84,0,0,0,3,24,6,239,116,123,50,3,63,0,0,MUL,38,12449.37445,12449.37445,4546747.144,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,3132,0.167073937,3.341478731,Low,13.406114179316674,Dr. Mallick Hospital,hospital,317.6,63.0,0.0,79.07240040605822,0,8.966096744431336,16.9748797434527,85.68181818181819,50.0,71.58473952929214,50.0,1,Very Low,32.38,Moderate,3.59,3.39,17.9,7.5,42.68,32.72,Moderate,61,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
19,1,1,1,3007,39804,39804,106339,Shankarpur,539229,Chamorshi,109.0,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,221,1001,4.52941176,608,515,486,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,3,30,3,0,1,2,18,12,539,504,35,482,22,0,0,0,MUL,31,10160.15358,10160.15358,4619640.473,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,3007,0.05154424,1.030884804,Low,1.058906537198162,Balprabha Hospital,hospital,200.2,0.0,0.0,6.11237190425696,0,2.7654077782353683,10.700160342063066,100.0,50.0,52.03745730141899,50.0,4,Low,23.76,Low,1.11,2.14,13.01,7.5,29.78,21.84,Low,178,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
20,1,1,1,4319,41162,41162,107697,Armori,538518,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,4441,18504,4.16662914,2300,9162,9342,,,,Available,Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,152,41,352,216,62,27,18,27,1405,639,766,517,22,100,0,0,DESAIGANJ,18,23842.45691,23842.45691,19704938.44,Administrative Boundary,Survey of India (SOI),"Maharashtra
",20,4319,0.727915915,3.639579577,Low,0.8794842715365073,SDH Armori,hospital,925.2,100.0,0.0,5.052160235678752,0,9.766077478824519,49.449492250133616,77.27272727272728,50.0,44.10829583613535,50.0,2,Moderate,32.32,Moderate,3.91,9.89,11.03,7.5,38.84,30.91,Moderate,85,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
21,1,1,1,4437,41404,41404,107939,Reserved Forest,999999,,,Brahmapuri,4067,,Chandrapur,473,,MH,27,India,Rural,0,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,208282.9005,208282.9005,187227824.9,Administrative Boundary,Survey of India (SOI),"Maharashtra
",194,4437,0.00077016,0.00039699,Low,2.7838169467290927,"Government Hospital, Kanpa",hospital,0.0,0.0,0.0,16.304920397013767,0,0.0,0.0,100.0,50.0,55.434973465671256,50.0,4,Low,21.36,Low,0.0,0.0,13.86,7.5,27.72,19.4,Low,196,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
22,1,1,1,3035,39833,39833,106368,Kadholi,540967,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,198,785,3.96464646,617,388,397,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,222,0,139,5,0,42,0,20,188,95,93,0,0,66,0,29,MUL,34,5189.356301,5189.356301,1116592.324,Administrative Boundary,Survey of India (SOI),"Maharashtra
",1,3035,0.024983931,2.4983931,Low,5.378532784146623,"Government Hospital, Majri",hospital,785.0,66.0,0.0,31.63717582991718,0,6.703599769687031,41.95617316942811,85.0,50.0,55.545725276639054,50.0,2,Moderate,32.46,Moderate,2.68,8.39,13.89,7.5,41.7,31.91,Moderate,73,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
23,1,1,1,4305,41146,41146,107681,Kurud,538493,Desaiganj (Vadasa),103.0,Desaiganj (Vadasa),4052,Desaiganj (Vadasa),Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,1486,5910,3.97711978,872,2905,3005,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,32,150,5,69,0,1,0,1,615,418,196,415,3,0,0,0,DESAIGANJ,6,15378.17483,15378.17483,15015917.3,Administrative Boundary,Survey of India (SOI),"Maharashtra
",16,4305,0.451949942,2.824687135,Low,4.233294599751174,Bansod Hospital,hospital,369.375,0.0,0.0,24.86992828725687,0,7.579239491110077,19.742116515232496,100.0,50.0,58.28997609575229,50.0,4,Low,29.05,Moderate,3.03,3.95,14.57,7.5,36.58,28.13,Moderate,123,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
24,1,1,1,4559,41812,41812,108347,Ladaj,540738,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,316,1300,4.11392405,968,688,612,,,,Available,Available,Available,Available,Available,,Not Available,Not Available,,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,13,8,287,0,0,2,2,12,643,281,362,0,281,0,0,0,BRAHMAPURI,24,12001.61049,12001.61049,7306666.327,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,4559,1.465398695,18.31748369,Moderate,3.830932435006576,"Government Hospital, Soni",hospital,162.5,0.0,0.0,22.49235792003695,0,49.15556821401832,8.6851950828434,100.0,50.0,57.49745264001232,50.0,0,Very High,43.27,Moderate,19.66,1.74,14.37,7.5,41.19,42.77,Moderate,20,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
25,1,1,1,3074,39871,39871,106406,Talodhi Mokasa,539263,Chamorshi,109.0,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,937,3597,3.83884739,1068,1798,1799,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,9,257,6,18,0,105,0,0,672,452,220,0,12,440,0,0,GADCHIROLI,26,16145.57049,16145.57049,11787162.21,Administrative Boundary,Survey of India (SOI),"Maharashtra
",12,3074,0.546048979,4.550408157,Low,9.934744831412123,Balprabha Hospital,hospital,299.75,440.0,0.0,58.55997250297167,0,12.210368818858818,16.020844468198824,0.0,50.0,36.186657500990556,50.0,3,High,24.63,Low,4.88,3.2,9.05,7.5,25.34,21.48,Low,181,"Healthcare, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, drainage-service gap."
26,1,1,1,4090,40925,40925,107460,Churmura,538589,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,366,1513,4.13387978,461,762,751,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,30,125,1,5,0,9,0,2,288,173,115,0,0,149,0,24,GADCHIROLI,23,10494.76214,10494.76214,5239773.079,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4090,0.580030485,11.6006097,Low,11.443405768878597,SDH Armori,hospital,302.6,149.0,0.0,67.47469623545618,0,31.130225919798,16.17316942811331,66.13636363636364,50.0,61.20368662393994,50.0,3,High,38.49,Moderate,12.45,3.23,15.3,7.5,41.68,38.22,Moderate,30,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
27,1,1,1,3050,39848,39848,106383,Shivni,539176,Gadchiroli,108.0,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,482,1883,3.906639,877,954,929,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,10,58,20,2,2,0,2,0,784,356,428,0,7,169,0,180,GADCHIROLI,10,17041.919,17041.919,11963491.47,Administrative Boundary,Survey of India (SOI),"Maharashtra
",12,3050,2.529473186,21.07894321,Moderate,6.999307838401909,SDH Kurkheda,hospital,156.91666666666666,169.0,0.0,41.214385315736166,0,56.56619600809925,8.386780687689292,61.59090909090909,50.0,50.93509813554842,50.0,0,Very High,44.54,Moderate,22.63,1.68,12.73,7.5,39.3,43.51,Moderate,19,"Drinking Water, Drainage, Evacuation Preparedness, Emergency Flood Response","Priority is influenced by high flood exposure, water-service gap, drainage-service gap."
28,1,1,1,3039,39837,39837,106372,Krupala,539163,Gadchiroli,108.0,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,47,204,4.34042553,51,104,100,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,0,7,0,3,0,1,4,0,36,45,-8,0,0,45,0,0,GADCHIROLI,9,9923.128263,9923.128263,4614782.326,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,3039,0.023927585,0.478551693,Low,4.746513045843392,Lifeline Hospital & Ayurvedic Panchakarma Centre,hospital,40.8,45.0,0.0,27.902551819626154,0,1.2831716366866444,2.1806520577231425,89.77272727272727,50.0,55.89175969745114,50.0,4,Low,22.42,Low,0.51,0.44,13.97,7.5,28.86,20.6,Low,188,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
